GEOID,NAME,TRACTCE,STATEFP,COUNTYFP,GEOIDFQ,NAMELSAD,INTPTLAT,INTPTLON,median_rent,vacancy_rate_rental,median_rooms,renter_share,owner_share,recent_movers_share,overcrowded_share,rent_burden35_share,bed_0_share,bed_1_share,bed_2_share,bed_3_share,bed_4_share,bed_5p_share
11001004002,40.02,4002,11,1,1400000US11001004002,Census Tract 40.02,38.9181186,-77.0437209,2495.0,7.4,3.3,0.6606205250596658,0.3393794749403341,0.29832935560859186,0.0,0.24891146589259797,0.2443784471786169,0.3071701315231226,0.32626219770895204,0.07042851081883751,0.026304624522698345,0.025456088247772592
11001003600,36.0,3600,11,1,1400000US11001003600,Census Tract 36,38.9236744,-77.0296273,2019.0,8.6,3.4,0.7068505338078291,0.2931494661921708,0.19884341637010677,0.0,0.1420345489443378,0.08067158067158067,0.41113841113841115,0.2497952497952498,0.12612612612612611,0.05896805896805897,0.0733005733005733
11001004201,42.01,4201,11,1,1400000US11001004201,Census Tract 42.01,38.9162076,-77.0388456,2411.0,13.7,3.6,0.6846473029045643,0.3153526970954357,0.23132780082987553,0.0,0.1460415065334358,0.11082802547770701,0.38980891719745225,0.354140127388535,0.10445859872611465,0.031422505307855626,0.009341825902335456
11001004202,42.02,4202,11,1,1400000US11001004202,Census Tract 42.02,38.9134023,-77.0430254,2122.0,0.0,2.8,0.7715170278637771,0.2284829721362229,0.27058823529411763,0.006811145510835914,0.18946474086661003,0.26123936816524906,0.46111786148238154,0.18894289185905225,0.03402187120291616,0.004860267314702308,0.04981773997569866
11001007407,74.07,7407,11,1,1400000US11001007407,Census Tract 74.07,38.8574823,-76.9850206,1260.0,6.8,5.0,0.5403602401601068,0.45963975983989325,0.14609739826551035,0.00600400266844563,0.5585241730279898,0.0054446460980036296,0.1294615849969752,0.4476709013914096,0.33030852994555354,0.08711433756805807,0.0
11001006801,68.01,6801,11,1,1400000US11001006801,Census Tract 68.01,38.8877413,-76.9801087,1941.0,5.5,5.4,0.40058479532163743,0.5994152046783626,0.1968810916179337,0.0,0.26666666666666666,0.0917516218721038,0.16311399443929564,0.23169601482854496,0.30213160333642264,0.1417979610750695,0.06950880444856349
11001010700,107.0,10700,11,1,1400000US11001010700,Census Tract 107,38.9039988,-77.0419809,2348.0,10.1,2.4,0.7332268370607029,0.26677316293929715,0.2987220447284345,0.03274760383386582,0.39756367663344405,0.4218852999340804,0.2972972972972973,0.2742254449571523,0.0065919578114700065,0.0,0.0
11001009604,96.04,9604,11,1,1400000US11001009604,Census Tract 96.04,38.8931572,-76.9585043,1441.0,0.0,5.6,0.32593457943925236,0.6740654205607477,0.018691588785046728,0.0,0.2145748987854251,0.0,0.0695364238410596,0.6567328918322296,0.26379690949227375,0.009933774834437087,0.0
11001000201,2.01,201,11,1,1400000US11001000201,Census Tract 2.01,38.9092171,-77.0743418,,,,,,,,,,,,,,
11001000300,3.0,300,11,1,1400000US11001000300,Census Tract 3,38.9179099,-77.0748728,2083.0,0.0,6.2,0.4065843621399177,0.5934156378600823,0.15473251028806584,0.0,0.33724653148345785,0.022556390977443608,0.2570712495524526,0.12996777658431793,0.2613677049767275,0.21732903687790905,0.11170784103114931
11001000400,4.0,400,11,1,1400000US11001000400,Census Tract 4,38.9227989,-77.0649214,3277.0,21.1,5.3,0.45415472779369626,0.5458452722063037,0.16475644699140402,0.0,0.5559322033898305,0.0847457627118644,0.17627118644067796,0.21129943502824858,0.10621468926553672,0.103954802259887,0.31751412429378534
11001000502,5.02,502,11,1,1400000US11001000502,Census Tract 5.02,38.9283547,-77.0595624,2308.0,0.0,4.2,0.44680851063829785,0.5531914893617021,0.1276595744680851,0.016101207590569294,0.3088803088803089,0.0512396694214876,0.3696969696969697,0.25013774104683195,0.10523415977961433,0.12176308539944904,0.10192837465564739
11001004600,46.0,4600,11,1,1400000US11001004600,Census Tract 46,38.9097456,-77.0133001,1994.0,0.0,4.1,0.5761014686248331,0.42389853137516686,0.2109479305740988,0.0,0.2414605418138987,0.060880048221820374,0.22001205545509342,0.35443037974683544,0.24171187462326701,0.09945750452079566,0.023508137432188065
11001004801,48.01,4801,11,1,1400000US11001004801,Census Tract 48.01,38.9117413,-77.0195344,2344.0,0.0,3.9,0.6342123056118999,0.36578769438810005,0.2501690331304936,0.032454361054766734,0.16475972540045766,0.1450189155107188,0.2137452711223203,0.30327868852459017,0.15132408575031525,0.17969735182849936,0.0069356872635561164
11001004802,48.02,4802,11,1,1400000US11001004802,Census Tract 48.02,38.9062118,-77.0188917,2109.0,6.2,3.3,0.7376654632972323,0.26233453670276774,0.273164861612515,0.02045728038507822,0.2543103448275862,0.07612833061446438,0.476889613920609,0.32572050027188687,0.08428493746601413,0.036976617727025554,0.0
11001004902,49.02,4902,11,1,1400000US11001004902,Census Tract 49.02,38.9058867,-77.0243932,2317.0,4.5,3.0,0.6645279560036663,0.3354720439963336,0.2016498625114574,0.0,0.25763888888888886,0.08190976784932107,0.5177398160315374,0.31011826544021026,0.04336399474375821,0.02759526938239159,0.019272886552781428
11001007401,74.01,7401,11,1,1400000US11001007401,Census Tract 74.01,38.8675208,-76.9991203,1164.0,5.7,3.3,0.8279430789133247,0.17205692108667528,0.03234152652005175,0.015523932729624839,0.8036697247706422,0.03436807095343681,0.4722838137472284,0.3203991130820399,0.058758314855875834,0.11419068736141907,0.0
11001007403,74.03,7403,11,1,1400000US11001007403,Census Tract 74.03,38.8484714,-76.9743805,1423.0,7.0,3.9,0.9608247422680413,0.03917525773195876,0.0,0.0,0.8066502463054187,0.012195121951219513,0.1445993031358885,0.6916376306620209,0.15156794425087108,0.0,0.0
11001000600,6.0,600,11,1,1400000US11001000600,Census Tract 6,38.9368114,-77.0675114,1745.0,0.0,6.0,0.3125,0.6875,0.14629629629629629,0.011574074074074073,0.31555555555555553,0.11587232181897683,0.2855268911237429,0.11456055968517709,0.10625273283777875,0.10668998688237866,0.2710975076519458
11001000702,7.02,702,11,1,1400000US11001000702,Census Tract 7.02,38.9241271,-77.077893,1799.0,10.2,3.1,0.7048579285059579,0.29514207149404215,0.15719523373052247,0.05545371219065078,0.4367897727272727,0.23411905713144227,0.4886136636036756,0.2273272073511786,0.03995205753096284,0.004794246903715541,0.0051937674790251695
11001007404,74.04,7404,11,1,1400000US11001007404,Census Tract 74.04,38.8503364,-76.9820932,1483.0,11.7,5.3,0.6954314720812182,0.30456852791878175,0.11385061638868746,0.0,0.6901234567901234,0.02157829839704069,0.0752157829839704,0.3039457459926017,0.45129469790382243,0.09186189889025893,0.056103575832305796
11001007301,73.01,7301,11,1,1400000US11001007301,Census Tract 73.01,38.834928,-77.024445,3135.0,3.8,6.2,1.0,0.0,0.29632408102025504,0.007501875468867217,0.30629139072847683,0.006906077348066298,0.006906077348066298,0.08977900552486189,0.6526243093922652,0.2361878453038674,0.007596685082872928
11001002702,27.02,2702,11,1,1400000US11001002702,Census Tract 27.02,38.930168,-77.0421774,1958.0,4.8,3.7,0.5089695452649144,0.4910304547350855,0.14559866499791405,0.03838130997079683,0.2721311475409836,0.15482334259626837,0.2628026994839222,0.1905518062723303,0.16077808654227868,0.10162763001190948,0.12941643509329098
11001008301,83.01,8301,11,1,1400000US11001008301,Census Tract 83.01,38.8970372,-77.0008008,2619.0,0.0,5.1,0.5144437615242778,0.4855562384757222,0.22556853103872157,0.006760909649661954,0.24752475247524752,0.07719714964370546,0.23990498812351543,0.25475059382422804,0.25593824228028506,0.10688836104513064,0.06532066508313539
11001001600,16.0,1600,11,1,1400000US11001001600,Census Tract 16,38.9849725,-77.0382324,2208.0,0.0,10.0,0.05757406372275014,0.9424259362772499,0.05142537730575741,0.010061486864169928,0.0,0.00975609756097561,0.05094850948509485,0.008672086720867209,0.3013550135501355,0.3853658536585366,0.24390243902439024
11001010500,105.0,10500,11,1,1400000US11001010500,Census Tract 105,38.8818529,-77.0133789,1990.0,10.9,2.7,0.6748726655348047,0.32512733446519526,0.18421052631578946,0.014431239388794566,0.34791252485089463,0.3116478379431243,0.38254772107518503,0.19166342033502143,0.0654460459680561,0.02025710946630308,0.02843786521231009
11001009204,92.04,9204,11,1,1400000US11001009204,Census Tract 92.04,38.9234161,-76.9987071,1392.0,3.3,3.3,0.8624305983960519,0.13756940160394818,0.24552745219000616,0.01727328809376928,0.5162220620043259,0.10321100917431193,0.4386467889908257,0.34575688073394495,0.08428899082568807,0.024655963302752295,0.0034403669724770644
